0 0 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 1
0 52 1
0 53 1
0 54 1
0 55 1
0 56 1
0 57 1
0 58 1
0 59 1
0 60 1
0 61 1
0 62 1
0 63 1
0 64 1
0 65 1
0 66 1
0 67 1
0 68 1
0 69 1
0 70 1
0 71 1
0 72 1
0 73 1
0 74 1
0 75 1
0 76 1
0 77 1
0 78 1
0 79 1
0 80 1
0 81 1
0 82 1
0 83 1
0 84 1
0 85 1
0 86 1
0 87 1
0 88 1
0 89 1
0 90 1
0 91 1
0 92 1
0 93 1
0 94 1
0 95 1
0 96 1
0 97 1
0 98 1

1 0 0.97036
1 1 0.97006
1 2 0.969752
1 3 0.969433
1 4 0.969105
1 5 0.968767
1 6 0.96842
1 7 0.968062
1 8 0.967695
1 9 0.967318
1 10 0.966931
1 11 0.966534
1 12 0.966128
1 13 0.965711
1 14 0.965286
1 15 0.964852
1 16 0.964409
1 17 0.963958
1 18 0.963499
1 19 0.963033
1 20 0.962561
1 21 0.962082
1 22 0.961599
1 23 0.961112
1 24 0.960622
1 25 0.96013
1 26 0.959638
1 27 0.959146
1 28 0.958656
1 29 0.95817
1 30 0.957688
1 31 0.957214
1 32 0.956749
1 33 0.956293
1 34 0.95585
1 35 0.955421
1 36 0.955009
1 37 0.954614
1 38 0.954239
1 39 0.953885
1 40 0.953556
1 41 0.953252
1 42 0.952974
1 43 0.952726
1 44 0.952507
1 45 0.95232
1 46 0.952165
